id,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi4flB6clm0iow6IFTbC7emI_Decision Making_1,1,9,41,"""Kanishka identifies issues in their sales approach and suggests a shift towards selling services instead of technology. Bill agrees and discusses the need for a strategy that aligns with their current capabilities and market demands.""",Sales Strategy Discussion,10:20.010,21:38.117,620,1298,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"""Kanishka Rao identifies challenges in the sales process related to clinician engagement and executive priorities, highlighting specific issues that need to be addressed for successful sales.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=620
vi4flB6clm0iow6IFTbC7emI_Decision Making_2,2,78,80,"""Kanishka and Bill discuss the need to pivot their focus towards specific market segments, particularly children's hospitals and independent practices, to optimize their sales strategy and improve outcomes.""",Market Segment Focus,38:53.796,40:40.156,2333,2440,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"""Bill Landi identifies the challenge of balancing priorities between pharma and provider growth, suggesting that attempting to address both simultaneously may lead to failure due to resource constraints.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=2333
vi4flB6clm0iow6IFTbC7emI_Decision Making_3,3,101,109,"""Kanishka expresses concerns about the decision-making process within the team, emphasizing the need for more collaboration and input from all members to enhance decision quality.""",Improving Decision-Making Process,50:16.116,59:41.916,3016,3581,vi4flB6clm0iow6IFTbC7emI,Discussion and Input Gathering,"""Kanishka Rao and Bill Landi are actively discussing the need for improved decision-making processes and the importance of collaboration, seeking input on how to enhance transparency and socialization of decisions within the team.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3016
vi4flB6clm0iow6IFTbC7emI_Decision Making_5,5,1,132,"""Throughout the conversation, Kanishka and Bill engage in a comprehensive dialogue about their sales strategy, decision-making processes, and the need for better collaboration, culminating in a plan to address these issues in future meetings.""",Overall Strategy and Collaboration,06:16.920,01:09:21.779,376,4161,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"""Kanishka Rao identifies challenges in their sales strategy, specifically highlighting issues with clinician engagement and executive prioritization, which are critical for their solution's success.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=376
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_1,1,39,55,"""Bill outlines the need for a consistent metrics solution that serves multiple stakeholders, emphasizing the importance of aligning metrics for sales and internal evaluations. Kanishka agrees on the significance of baseline comparisons and expresses support for Bill's approach.""",Aligning Metrics for Stakeholders,21:36.186,26:54.400,1296,1614,vi6TBTdOQ3bkW2b7ku6xtvbK,Framing and Context Setting,"""Bill Landi is explaining the need for a consistent metrics solution and the importance of baseline data in measuring impacts, which helps the team understand the scope of the decision.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1296
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_2,2,66,70,"""Kanishka delegates the responsibility of determining the population for metrics calculations to Bill, who agrees to propose a solution for Kanishka's approval, ensuring stakeholder alignment.""",Delegating Metrics Population Decision,31:23.322,32:20.240,1883,1940,vi6TBTdOQ3bkW2b7ku6xtvbK,Decision Ownership,"""Kanishka Rao is indicating that someone needs to take responsibility for deciding on the population to use, suggesting that Bill Landi should take point on that decision.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1883
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_3,3,122,126,"""Kanishka emphasizes the need for transparency in decision-making and accountability among the leadership team, suggesting that key decisions and strategies should be shared to avoid misalignment.""",Enhancing Transparency in Leadership,53:49.850,58:10.538,3229,3490,vi6TBTdOQ3bkW2b7ku6xtvbK,Problem or Opportunity Identification,"""Bill Landi identifies a significant issue regarding transparency and alignment within the team, suggesting that the lack of clarity on goals has been a major problem over the past few months.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=3229
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_4,4,158,184,"""Kanishka discusses the need for a chief of staff to help manage executive responsibilities, indicating a desire to delegate tasks and improve efficiency within the organization.""",Need for Chief of Staff,01:09:55.220,01:17:32.916,4195,4652,vi6TBTdOQ3bkW2b7ku6xtvbK,Discussion and Input Gathering,"""Kanishka Rao and Bill Landi are discussing potential candidates for the COO role, evaluating their qualifications and the implications of hiring decisions, which involves gathering input and perspectives from each other.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=4195
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_5,5,220,222,"""Kanishka expresses concern over his father's sporadic ownership of projects, indicating a need for more consistent leadership and accountability in decision-making processes.""",Addressing Leadership Accountability,01:28:55.622,01:29:30.118,5335,5370,vi6TBTdOQ3bkW2b7ku6xtvbK,Discussion and Input Gathering,"""Kanishka Rao and Bill Landi are discussing the issues of ownership and responsibility, seeking to understand the challenges faced in project management and gathering input on the situation.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=5335
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_1,1,1,1,"""Kanishka discusses the importance of securing funding for care diagnostics in the 2025 budget, emphasizing its impact on revenue and future strategy.""",Funding for Care Diagnostics,02:21.760,02:20.620,141,140,vi42vP3lFwcaZP6hH82M5wZE,Framing and Context Setting,"""Kanishka Rao is explaining the strategy and financial implications of a proposal, providing context about the importance of securing funding and how it aligns with their goals for revenue and fundraising.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=141
