video_id,index,start,end,speaker,text,duration,word_count,hard_filler_count,soft_filler_count,profanity_count,question_count,sentence_count,avg_valence,avg_arousal,avg_dominance,total_valence,total_arousal,total_dominance,vad_word_count,wpm
vi4flB6clm0iow6IFTbC7emI,0,06:11.090,06:16.140,Kanishka Rao,"Hey, Bill, how's it going? You're on mute, sir.",5.050000000000011,9,0,0,0,1,2,-0.14066666666666663,-0.39466666666666667,0.04200000000000004,-0.42199999999999993,-1.184,0.1260000000000001,3,106.93069306930668
vi4flB6clm0iow6IFTbC7emI,1,06:16.920,06:24.752,Bill Landi,"Yes, I am. Yeah. When I wait, I usually turn it off just in case there's background noise and stuff, but I'm good. How about you?",7.831999999999994,26,0,1,0,1,4,-0.02828571428571431,-0.1957142857142857,-0.17999999999999997,-0.19800000000000018,-1.3699999999999999,-1.2599999999999998,7,199.182839632278
vi4flB6clm0iow6IFTbC7emI,2,06:24.936,06:33.622,Kanishka Rao,"Doing well. Doing well. Um, how was, uh. You were out on Friday, right? What were you up to?",8.686000000000035,19,2,2,0,2,5,0.364,-0.23700000000000004,0.05099999999999999,0.728,-0.4740000000000001,0.10199999999999998,2,131.24568270780512
vi4flB6clm0iow6IFTbC7emI,3,06:33.766,06:42.118,Bill Landi,I went to my mother in law and I closed her pool down. Nice. Nice. I don't know if you've ever closed a pool. That's first time I closed a pool.,8.351999999999975,31,0,0,0,0,5,0.18971428571428572,-0.29700000000000004,0.13614285714285715,2.656,-4.158,1.906,14,222.70114942528798
vi4flB6clm0iow6IFTbC7emI,4,06:42.254,06:44.570,Kanishka Rao,"No, but you're a very good son in law.",2.315999999999974,9,0,0,0,0,1,0.6466666666666666,-0.11800000000000004,0.25133333333333335,1.94,-0.3540000000000001,0.754,3,233.16062176166065
vi4flB6clm0iow6IFTbC7emI,5,06:45.670,06:46.890,Bill Landi,I try to be.,1.2199999999999704,4,0,0,0,0,1,0.274,-0.20899999999999996,0.1100000000000001,0.548,-0.4179999999999999,0.2200000000000002,2,196.7213114754146
vi4flB6clm0iow6IFTbC7emI,6,06:48.110,07:13.500,Kanishka Rao,"That's the end. Awesome. Okay, well, I've got to get going for a train. Probably, like, need to end this 15 to early. Biggest thing on my mind is. So I've structured a bit of what we're trying to do in a new way. I just want to. Is there anything top of mind for you, by the way?",25.389999999999986,58,0,4,0,1,8,0.19977777777777778,-0.09644444444444446,-0.033888888888888885,3.596,-1.7360000000000002,-0.61,18,137.0618353682553
vi4flB6clm0iow6IFTbC7emI,7,07:15.200,07:21.830,Bill Landi,"No. No, I don't think so. No.",6.6299999999999955,7,0,1,0,0,3,0.5720000000000001,-0.18400000000000005,0.236,0.5720000000000001,-0.18400000000000005,0.236,1,63.348416289592805
vi4flB6clm0iow6IFTbC7emI,8,07:24.650,10:16.980,Kanishka Rao,"Okay. Okay. The thing on my mind is, essentially, I came up with a framework of what's wrong with our solution from a sales perspective, from a health system sales perspective, our solution goes wrong in one of three places. First stage gate is a clinician isn't excited about the problem we're solving. Like, we're being a small problem in the scheme of things. And this is like, for certain clinicians, right, for the CMO, like, asthma is too small a problem. You know, head of pop health, asthma is too small a problem. Even for the chief of pulmonology, asthma may be too small a problem, but for the director of asthma, you know, we figure this out. But then you get to step two, which is okay, if a clinician likes this, thinks it's important, wants to champion it, can we get an executive to say, and this is worth doing, you know, putting resources behind to some extent in the near term. And I think, like, as my large health systems really falls off the radar, just in terms of, like, there's not that much money there. There's not that much reason to improve unless we find something new. The flip being that the. Space where this has worked is the, is the children's asthma space of pediatric health systems. Because now you're talking about the second biggest disease, if not the biggest, in pediatrics. Yeah. Like, the diabetes and asthma are just like, everything for kids. Same way, like heart diseases for cancer for adults. Um, then last question is, even if we can convince someone, the clinician says it's good to do, the executives say it's a high priority. Can we get it to say we need these guys to do it versus we should do it ourselves? That's where things like incidental lung nodules fell apart because we convinced the clinician it was good. We clinician, we convinced the executives that it was worth doing. And then when we got to it, they said, well, we'll just build this. Yeah. And even though it's going to be slower and, you know, time consuming for them, they're just like, we can do this ourselves. We don't need to bring in another vendor for it. And so, like, basically all our sales motions have gone wrong in one of these areas.",172.33000000000004,395,1,18,0,1,26,0.18871212121212125,-0.13209090909090906,0.04369696969696972,24.910000000000004,-17.435999999999996,5.768000000000003,132,137.52683804328902
vi4flB6clm0iow6IFTbC7emI,9,10:20.010,10:28.922,Bill Landi,"And is it evenly distributed or is there, you know, are they asthma consistently?",8.912000000000035,14,0,0,0,1,1,-0.03699999999999998,-0.08999999999999997,-0.06900000000000006,-0.07399999999999995,-0.17999999999999994,-0.13800000000000012,2,94.25493716337486
vi4flB6clm0iow6IFTbC7emI,10,10:29.026,10:39.234,Kanishka Rao,"Like, we're either talking to the wrong people and it goes wrong, or, like, we get someone excited, but then it, like, falls apart once an executive's like, well, why the fuck are we doing this?",10.208000000000084,36,0,5,1,1,1,0.08199999999999998,0.08619999999999998,0.0132,0.8199999999999997,0.8619999999999999,0.132,10,211.59874608150298
vi4flB6clm0iow6IFTbC7emI,11,10:39.362,10:42.650,Bill Landi,So we're not even getting to it for asthma?,3.288000000000011,9,0,1,0,1,1,-0.604,0.09800000000000009,-0.546,-0.604,0.09800000000000009,-0.546,1,164.2335766423352
vi4flB6clm0iow6IFTbC7emI,12,10:42.770,10:55.412,Kanishka Rao,"Not really, no. The exception being like, Jefferson, where we've basically seeded it and we've, like, you know, we have strong relationships.",12.642000000000053,22,0,3,0,0,2,0.447,-0.06633333333333336,0.20933333333333334,2.682,-0.39800000000000013,1.256,6,104.41385856668205
vi4flB6clm0iow6IFTbC7emI,13,10:55.556,11:00.520,Bill Landi,I wouldn't mind. It doesn't. You could table for the end. But I would like to hear what happened with the Sinai meeting.,4.963999999999942,23,0,1,0,0,4,0.17742857142857144,-0.23714285714285716,-0.10314285714285716,1.242,-1.6600000000000001,-0.7220000000000001,7,278.0016116035488
vi4flB6clm0iow6IFTbC7emI,14,11:01.060,11:35.600,Kanishka Rao,"Yeah, it was a very, very good meeting, essentially. Yeah. This is, this is sort of what I figured out. Now here's the big issue. Right? Like, we have found ways to get clinicians excited and hit executive priorities. None of those include our Sua solution is the issue. And so I guess what I'm coming to is, like, landing with Sua seems untenable.",34.54000000000008,64,0,3,0,1,8,0.3126086956521739,0.06817391304347827,0.17608695652173917,7.1899999999999995,1.568,4.050000000000001,23,111.17544875506633
vi4flB6clm0iow6IFTbC7emI,15,11:36.820,12:03.913,Bill Landi,"Yeah. Which even, like, even at the in person meeting, I, that doesn't surprise me. Right. I wouldn't be able to say that's definitely true. Well, yeah, I wouldn't be able to say that. Definitely true. But it doesn't surprise me. Yeah. Pulmonology. I don't know if we. Other things in pulmonology. And that. That wouldn't surprise me either.",27.09299999999996,59,0,2,0,0,13,0.45355555555555555,-0.1027777777777778,0.18088888888888893,8.164,-1.8500000000000005,3.2560000000000007,18,130.66105636142197
vi4flB6clm0iow6IFTbC7emI,16,12:04.373,12:39.953,Kanishka Rao,"Yeah. The only real metric in pulmonology is COPD readmissions. COPD readmissions and maybe lung cancer screening. Technically also in pulmonology, like, those are the two big ones. Asthma can be big in like a community engagement way. Like it's good pr because it affects a lot of the community.",35.57999999999993,50,0,3,0,0,6,0.2528,-0.19570000000000004,0.1207,5.056,-3.9140000000000006,2.414,20,84.31703204047236
